Sample,Experiment,DPH,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-051t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-052t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-053t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-054t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-055t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-056t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-057t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-058t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-059t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
2016-060t,exp2,10,pH 8.2,400uatm,24C,8.2,0.05,426,NA,24.1,0.2,31,8.05,0.17,23.6,0.5,2044,NA,1828,NA,424.2,NA,154.9,NA
