Sample,Experiment,MO2,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-081,exp1,NA,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-083,exp1,NA,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-084,exp1,0.056809384,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-085,exp1,0.047316753,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-086,exp1,0.189065416,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-089,exp1,0.101429358,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-090,exp1,0.084826681,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-092,exp1,0.100369963,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-093,exp1,0.117016231,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-094,exp1,NA,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-095,exp1,0.097994364,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-096,exp1,0.056966596,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-097,exp1,0.102371921,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-098,exp1,0.055394045,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-100,exp1,0.051362446,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-101,exp1,0.152489348,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-102,exp1,0.195767569,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-103,exp1,0.115110929,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-105,exp1,0.136046079,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-106,exp1,0.096806066,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-107,exp1,0.136274524,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-108,exp1,0.247426907,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-109,exp1,0.197180822,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-110,exp1,0.122200405,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-111,exp1,0.109025524,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-112,exp1,0.124337305,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-113,exp1,0.084524278,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-114,exp1,0.056834624,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-115,exp1,0.076601782,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-116,exp1,0.116337962,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-117,exp1,0.121668458,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-118,exp1,0.126676408,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-119,exp1,0.143671216,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-121,exp1,0.057604408,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-122,exp1,0.116992172,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-123,exp1,0.124665966,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-124,exp1,0.075857055,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-125,exp1,0.048730222,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-127,exp1,0.097008859,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-128,exp1,0.077124676,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-129,exp1,0.078478553,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-130,exp1,0.114607357,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-131,exp1,0.115330233,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-132,exp1,0.142469737,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-133,exp1,0.091417613,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-134,exp1,0.129886396,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-135,exp1,0.11797615,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-136,exp1,0.225977873,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-137,exp1,0.144412146,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-138,exp1,0.180910571,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-139,exp1,NA,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-140,exp1,0.175072865,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-144,exp1,0.168236277,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-146,exp1,0.059067859,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-148,exp1,NA,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-152,exp1,0.04918539,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-153,exp1,0.142502847,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-155,exp1,0.07104096,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-156,exp1,0.159097922,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-157,exp1,0.126263678,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-159,exp1,0.198745331,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-201,exp1,0.029149515,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-202,exp1,0.052006156,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-203,exp1,0.074889681,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-204,exp1,0.059958164,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-206,exp1,0.030423004,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-207,exp1,0.0557654,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-209,exp1,0.103894476,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-210,exp1,NA,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-211,exp1,NA,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-212,exp1,NA,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-213,exp1,0.007755245,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-216,exp1,0.096887381,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-217,exp1,0.087330079,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-219,exp1,0.04313576,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-221,exp1,0.138637054,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-222,exp1,NA,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-223,exp1,NA,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-224,exp1,NA,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-225,exp1,0.107632624,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-226,exp1,0.066716474,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
