Experiment,Year,Sample,FrontArea1um,FrontArea1mm,FrontCount1,BackArea1um,BackArea1mm,BackCount1,FrontDensity1um,FrontDensity1mm,BackDensity1um,BackDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,FrontArea2um,FrontArea2mm,FrontCount2,BackArea2um,BackArea2mm,BackCount2,FrontDensity2um,FrontDensity2mm,BackDensity2um,BackDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageFrontDensityum,SDFrontum,AverageFrontDensitymm,SDFrontmm,AverageBackDensityum,SDBackum,AverageBackDensitymm,SDBackmm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp2,2016,2016-51t,2304139,2.304139,677,1888773,1.888773,551,0.000293819,293.8190795,0.000291724,291.7237805,4192912,4.192912,1228,0.000292875,292.8752142,2763521,2.763521,817,1894920,1.89492,573,0.000295637,295.6373409,0.000302387,302.3874359,4658441,4.658441,1390,0.000298383,298.3830857,0.000294728,1.29E-06,294.7282102,1.29E+00,0.000297056,7.54E-06,297.0556082,7.540343057,0.000295629,3.89465E-06,295.6291499,3.894653288
exp2,2016,2016-52t,2340287,2.340287,1095,3567651,3.567651,1423,0.000467891,467.8913313,0.000398862,398.8618842,5907938,5.907938,2518,0.000426206,426.206233,3266024,3.266024,1533,3026879,3.026879,1122,0.000469378,469.3780572,0.000370679,370.6788411,6292903,6.292903,2655,0.000421904,421.9038495,0.000468635,1.05E-06,468.6346943,1.05E+00,0.00038477,1.99E-05,384.7703627,19.92842085,0.000424055,3.04224E-06,424.0550413,3.042244601
exp2,2016,2016-53t,1953211,1.953211,468,1418092,1.418092,335,0.000239605,239.6054497,0.000236233,236.2329101,3371303,3.371303,803,0.000238187,238.1868376,2317604,2.317604,605,1804128,1.804128,446,0.000261045,261.045459,0.000247211,247.2108409,4121732,4.121732,1051,0.00025499,254.9898926,0.000250325,1.52E-05,250.3254544,1.52E+01,0.000241722,7.76E-06,241.7218755,7.762569298,0.000246588,1.18816E-05,246.5883651,11.88155417
exp2,2016,2016-54t,2728043,2.728043,839,1747104,1.747104,368,0.000307546,307.546472,0.000210634,210.6342839,4475147,4.475147,1207,0.000269712,269.7118106,3005283,3.005283,911,2117131,2.117131,538,0.000303133,303.1328497,0.000254117,254.1174826,5122414,5.122414,1449,0.000282874,282.8744416,0.00030534,3.12E-06,305.3396608,3.12E+00,0.000232376,3.07E-05,232.3758833,30.74726463,0.000276293,9.30739E-06,276.2931261,9.307385664
exp2,2016,2016-55t,2289970,2.28997,467,1611997,1.611997,354,0.000203933,203.9328026,0.000219603,219.6033864,3901967,3.901967,821,0.000210407,210.4067,2643329,2.643329,581,2128817,2.128817,485,0.000219799,219.7985949,0.000227826,227.8260649,4772146,4.772146,1066,0.00022338,223.3795865,0.000211866,1.12E-05,211.8656987,1.12E+01,0.000223715,5.81E-06,223.7147256,5.814311755,0.000216893,9.17322E-06,216.8931432,9.173215983
exp2,2016,2016-56t,1792582,1.792582,429,1007011,1.007011,243,0.00023932,239.319596,0.000241308,241.3081883,2799593,2.799593,672,0.000240035,240.0348908,2111555,2.111555,535,2325878,2.325878,254,0.000253368,253.3677787,0.000109206,109.2060719,4437433,4.437433,789,0.000177806,177.8055015,0.000246344,9.93E-06,246.3436874,9.93E+00,0.000175257,9.34E-05,175.2571301,93.41030234,0.00020892,4.40028E-05,208.9201961,44.00282314
exp2,2016,2016-57t,2297340,2.29734,577,1193263,1.193263,326,0.00025116,251.1600373,0.0002732,273.2004596,3490603,3.490603,903,0.000258695,258.6945579,2728437,2.728437,733,2488177,2.488177,258,0.000268652,268.6519791,0.00010369,103.6903725,5216614,5.216614,991,0.00018997,189.969969,0.000259906,1.24E-05,259.9060082,1.24E+01,0.000188445,1.20E-04,188.445416,119.861732,0.000224332,4.85956E-05,224.3322635,48.59562285
exp2,2016,2016-58t,2096587,2.096587,474,904710,0.90471,163,0.000226082,226.0817223,0.000180168,180.1682307,3001297,3.001297,637,0.000212242,212.2415742,2309580,2.30958,677,1828720,1.82872,343,0.000293127,293.1268889,0.000187563,187.5628855,4138300,4.1383,1020,0.000246478,246.4780224,0.000259604,4.74E-05,259.6043056,4.74E+01,0.000183866,5.23E-06,183.8655581,5.228810562,0.00022936,2.42088E-05,229.3597983,24.20882465
exp2,2016,2016-59t,1613543,1.613543,419,1060210,1.06021,142,0.000259677,259.6769965,0.000133936,133.9357297,2673753,2.673753,561,0.000209817,209.8174364,1785980,1.78598,492,1531925,1.531925,188,0.000275479,275.4790087,0.000122721,122.7214126,3317905,3.317905,680,0.000204949,204.9486046,0.000267578,1.12E-05,267.5780026,1.12E+01,0.000128329,7.93E-06,128.3285712,7.929719676,0.000207383,3.44278E-06,207.3830205,3.442783964
exp2,2016,2016-60t,2008533,2.008533,427,1258034,1.258034,232,0.000212593,212.5929721,0.000184415,184.4147296,3266567,3.266567,659,0.000201741,201.740849,2357935,2.357935,583,2092872,2.092872,271,0.00024725,247.2502423,0.000129487,129.4871354,4450807,4.450807,854,0.000191875,191.8753161,0.000229922,2.45E-05,229.9216072,2.45E+01,0.000156951,3.88E-05,156.9509325,38.83967438,0.000196808,6.97599E-06,196.8080826,6.97598524
