Experiment,Year,Run,Sample,FrontArea1um,FrontArea1mm,FrontCount1,BackArea1um,BackArea1mm,BackCount1,FrontDensity1um,FrontDensity1mm,BackDensity1um,BackDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,FrontArea2um,FrontArea2mm,FrontCount2,BackArea2um,BackArea2mm,BackCount2,FrontDensity2um,FrontDensity2mm,BackDensity2um,BackDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageFrontDensityum,SDFrontum,AverageFrontDensitymm,SDFrontmm,AverageBackDensityum,SDBackum,AverageBackDensitymm,SDBackmm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp1,2016,run3,2016-081,390262.1622,0.390262162,81,300265.1191,0.300265119,61,0.000207553,207.5527885,0.000203154,203.1538002,690527.2813,0.690527281,142,0.00020564,205.6399564,542369.8281,0.542369828,32,466419.6671,0.466419667,56,5.90E-05,59.00033214,0.000120064,120.0635478,1008789.495,1.008789495,88,8.72E-05,87.23326365,0.000133277,1.05E-04,133.2765603,105.0424492,0.000161609,5.88E-05,161.608674,58.75368089,0.000146437,8.37E-05,146.43661,83.72617536
exp1,2016,run3,2016-083,423576.0093,0.423576009,25,188853.8111,0.188853811,54,5.90E-05,59.02128414,0.000285935,285.9354529,612429.8204,0.61242982,79,0.000128994,128.9943719,302764.8145,0.302764814,15,247079.183,0.247079183,77,4.95E-05,49.54340559,0.000311641,311.6409851,549843.9975,0.549843997,92,0.00016732,167.3201861,5.43E-05,6.70E-06,54.28234486,6.701872198,0.000298788,1.82E-05,298.788219,18.1765562,0.000148157,2.71E-05,148.157279,27.10044316
exp1,2016,run3,2016-084,372459.9527,0.372459953,54,322131.447,0.322131447,79,0.000144982,144.9820299,0.000245242,245.2415023,694591.3997,0.6945914,133,0.000191479,191.47948,362530.5824,0.362530582,23,425477.7,0.4254777,38,6.34E-05,63.44292348,8.93E-05,89.31137872,788008.2824,0.788008282,61,7.74E-05,77.41035388,0.000104212,5.77E-05,104.2124767,57.65685508,0.000167276,0.000110259,167.2764405,110.2592478,0.000134445,8.07E-05,134.4449169,80.65905258
exp1,2016,run3,2016-085,227094.9682,0.227094968,57,289275.8922,0.289275892,81,0.000250996,250.9963142,0.00028001,280.0095071,516370.8604,0.51637086,138,0.00026725,267.2497822,404968.4513,0.404968451,26,352368.0615,0.352368062,59,6.42E-05,64.20253211,0.000167439,167.4385577,757336.5128,0.757336513,85,0.000112235,112.2354443,0.000157599,1.32E-04,157.5994232,132.08315,0.000223724,7.96E-05,223.7240324,79.5996817,0.000189743,0.000109612,189.7426133,109.6116895
exp1,2016,run3,2016-086,214348.2124,0.214348212,119,264229.9944,0.264229994,194,0.000555171,555.1714132,0.000734209,734.2088488,478578.2068,0.478578207,313,0.000654021,654.0205876,372680.645,0.372680645,160,338104.9366,0.338104937,216,0.000429322,429.3220003,0.000638855,638.8549134,710785.5816,0.710785582,376,0.000528992,528.9921598,0.000492247,8.90E-05,492.2467068,88.98897326,0.000686532,6.74E-05,686.5318811,67.4254143,0.000591506,8.84E-05,591.5063737,88.40844907
exp1,2016,run3,2016-089,249570.8694,0.249570869,120,283630.4427,0.283630443,157,0.000480825,480.8253475,0.000553537,553.5371962,533201.3121,0.533201312,277,0.000519504,519.5035978,389946.2519,0.389946252,131,373723.5501,0.37372355,169,0.000335944,335.9437342,0.000452206,452.2059152,763669.802,0.763669802,300,0.00039284,392.8399411,0.000408385,1.02E-04,408.3845408,102.4467712,0.000502872,7.17E-05,502.8715557,71.65203593,0.000456172,8.96E-05,456.1717694,89.56473063
exp1,2016,run3,2016-090,292531.9924,0.292531992,159,235855.9155,0.235855916,108,0.00054353,543.5302946,0.000457907,457.9066833,528387.9079,0.528387908,267,0.000505311,505.3105796,449947.8402,0.44994784,140,338886.6569,0.338886657,112,0.000311147,311.1471764,0.000330494,330.49398,788834.4971,0.788834497,252,0.000319459,319.4586455,0.000427339,1.64E-04,427.3387355,164.3196787,0.0003942,9.01E-05,394.2003316,90.09438652,0.000412385,0.000131417,412.3846126,131.4171629
exp1,2016,run3,2016-092,197693.0686,0.197693069,139,310689.2671,0.310689267,152,0.00070311,703.1101342,0.000489235,489.2347953,508382.3357,0.508382336,291,0.000572404,572.4038378,492099.1651,0.492099165,273,535115.1601,0.53511516,220,0.000554766,554.7662328,0.000411126,411.1264573,1027214.325,1.027214325,493,0.000479939,479.9387897,0.000628938,1.05E-04,628.9381835,104.8949786,0.000450181,5.52E-05,450.1806263,55.23093551,0.000526171,6.54E-05,526.1713137,65.3826625
exp1,2016,run3,2016-093,320276.9204,0.32027692,148,356666.2205,0.356666221,160,0.0004621,462.1001095,0.000448599,448.598692,676943.1409,0.676943141,308,0.000454987,454.9865142,540356.0116,0.540356012,130,439127.3975,0.439127398,178,0.000240582,240.5821296,0.000405349,405.3493383,979483.4091,0.979483409,308,0.000314451,314.4514722,0.000351341,1.57E-04,351.3411196,156.6368658,0.000426974,3.06E-05,426.9740151,30.5819113,0.000384719,9.94E-05,384.7189932,99.37328119
exp1,2016,run3,2016-094,333831.6944,0.333831694,231,337066.4373,0.337066437,142,0.000691965,691.9654541,0.000421282,421.2819322,670898.1317,0.670898132,373,0.000555971,555.9711413,551124.5463,0.551124546,255,555945.4236,0.555945424,188,0.00046269,462.6903333,0.000338163,338.1626901,1107069.97,1.10706997,443,0.000400155,400.1553759,0.000577328,1.62E-04,577.3278937,162.1219927,0.000379722,5.88E-05,379.7223112,58.77417976,0.000478063,0.000110178,478.0632586,110.1783843
