Experiment,Year,Run,Sample,Side1,YolkArea1px,YolkArea1um,YolkArea1mm,YolkCount1,BodyArea1px,BodyArea1um,BodyArea1mm,BodyCount1,YolkDensity1um,YolkDensity1mm,BodyDensity1um,BodyDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,Side2,YolkArea2px,YolkArea2um,YolkArea2mm,YolkCount2,BodyArea2px,BodyArea2um,BodyArea2mm,BodyCount2,YolkDensity2um,YolkDensity2mm,BodyDensity2um,BodyDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageYolkDensityum,SDYolkum,AverageYolkDensitymm,SDYolkmm,AverageBodyDensityum,SDBodyum,AverageBodyDensitymm,SDBodymm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp1,2016,run1,2016-1,R,330799,294374.2156,0.294374216,12,534747,475865.1891,0.475865189,22,4.08E-05,40.76443983,4.62E-05,46.23158093,770239.4047,0.770239405,34,4.41E-05,44.1421197,R,342612,304886.4681,0.304886468,17,512163,455767.9479,0.455767948,40,5.58E-05,55.75846021,8.78E-05,87.76396011,760654.416,0.760654416,57,7.49E-05,74.93547503,4.83E-05,1.06E-05,48.26145002,10.60237349,6.70E-05,2.94E-05,66.99777052,29.36782696,5.95E-05,2.18E-05,59.53879737,21.77419037
exp1,2016,run1,2016-2,R,278197,247564.3024,0.247564302,21,634424,564566.602,0.564566602,31,8.48E-05,84.82644629,5.49E-05,54.90937631,812130.9044,0.812130904,52,6.40E-05,64.02908659,R,284860,253493.6293,0.253493629,30,644805,573804.5342,0.573804534,61,0.000118346,118.3461694,0.000106308,106.3079784,827298.1635,0.827298163,91,0.000109997,109.9966179,0.000101586,2.37E-05,101.5863079,23.70202354,8.06E-05,3.63E-05,80.60867733,36.34430005,8.70E-05,3.25E-05,87.01285226,32.50395312
exp1,2016,run1,2016-3,R,306541,272787.3012,0.272787301,15,531597,473062.0404,0.47306204,53,5.50E-05,54.98789693,0.000112036,112.0360449,745849.3416,0.745849342,68,9.12E-05,91.1712275,R,388237,345487.6295,0.34548763,24,446580,397406.3925,0.397406392,93,6.95E-05,69.46703138,0.000234017,234.0173731,742894.022,0.742894022,117,0.000157492,157.4921813,6.22E-05,1.02E-05,62.22746416,10.23829415,0.000173027,8.63E-05,173.026709,86.25382432,0.000124332,4.69E-05,124.3317044,46.89599617
exp1,2016,run1,2016-4,R,467120,415684.7016,0.415684702,8,600505,534382.475,0.534382475,80,1.92E-05,19.24535584,0.000149706,149.7055082,950067.1766,0.950067177,88,9.26E-05,92.62502922,R,465516,414257.3205,0.41425732,16,604025,537514.8824,0.537514882,102,3.86E-05,38.62333677,0.000189762,189.7621877,951772.2029,0.951772203,118,0.000123979,123.9792459,2.89E-05,1.37E-05,28.93434631,13.70230172,0.000169734,2.83E-05,169.7338479,28.32434969,0.000108302,2.22E-05,108.3021376,22.17077924
exp1,2016,run1,2016-5,L,417000,371083.4915,0.371083492,23,501048,445876.8376,0.445876838,126,6.20E-05,61.98066075,0.000282589,282.5892475,816960.3291,0.816960329,149,0.000182383,182.383397,L,422105,375626.3722,0.375626372,41,486475,432908.4929,0.432908493,157,0.000109151,109.1510156,0.000362663,362.6632477,808534.8651,0.808534865,198,0.000244887,244.8873989,8.56E-05,3.34E-05,85.56583816,33.35447777,0.000322626,5.66E-05,322.6262476,56.62086855,0.000213635,4.42E-05,213.6353979,44.1970036
exp1,2016,run1,2016-6,R,313355,278851.0012,0.278851001,3,550175,489594.3884,0.489594388,21,1.08E-05,10.75843367,4.29E-05,42.89264848,768445.3896,0.76844539,24,3.12E-05,31.23188756,R,329382,293113.2437,0.293113244,9,521866,464402.5357,0.464402536,28,3.07E-05,30.70485621,6.03E-05,60.29252178,757515.7794,0.757515779,37,4.88E-05,48.84386703,2.07E-05,1.41E-05,20.73164494,14.10425064,5.16E-05,1.23E-05,51.59258513,12.3035684,4.00E-05,1.25E-05,40.03787729,12.45355011
exp1,2016,run1,2016-7,L,401514,357302.6787,0.357302679,6,556867,495549.522,0.495549522,114,1.68E-05,16.79248536,0.000230048,230.0476439,852852.2007,0.852852201,120,0.000140704,140.7043329,L,412560,367132.3867,0.367132387,29,546506,486329.3876,0.486329388,156,7.90E-05,78.99057955,0.00032077,320.7702516,853461.7743,0.853461774,185,0.000216764,216.7642483,4.79E-05,4.40E-05,47.89153245,43.98069418,0.000275409,6.42E-05,275.4089478,64.15057105,0.000178734,5.38E-05,178.7342906,53.78248196
exp1,2016,run1,2016-8,L,376371,334928.2129,0.334928213,11,427762,380660.4712,0.380660471,55,3.28E-05,32.84285878,0.000144486,144.4857141,715588.6842,0.715588684,66,9.22E-05,92.23175472,L,384146,341847.0958,0.341847096,32,446690,397504.2802,0.39750428,65,9.36E-05,93.609103,0.00016352,163.5202518,739351.376,0.739351376,97,0.000131196,131.1960769,6.32E-05,4.30E-05,63.22598089,42.96822335,0.000154003,1.35E-05,154.0029829,13.45945074,0.000111714,2.76E-05,111.7139158,27.55193646
exp1,2016,run1,2016-9,R,343413,305599.2688,0.305599269,17,563472,501427.2354,0.501427235,141,5.56E-05,55.62840536,0.000281197,281.1973305,807026.5041,0.807026504,158,0.00019578,195.780435,R,373142,332054.7631,0.332054763,41,513960,457367.0775,0.457367077,160,0.000123474,123.4736091,0.000349828,349.8284155,789421.8406,0.789421841,201,0.000254617,254.6167203,8.96E-05,4.80E-05,89.55100721,47.97380361,0.000315513,4.85E-05,315.512873,48.52950561,0.000225199,4.16E-05,225.1985776,41.60353637
exp1,2016,run1,2016-10,R,352229,313444.5255,0.313444526,4,935535,832521.8088,0.832521809,142,1.28E-05,12.76142882,0.000170566,170.5661023,1145966.334,1.145966334,146,0.000127403,127.4033937,R,373475,332351.0959,0.332351096,20,592380,527152.1312,0.527152131,179,6.02E-05,60.17732526,0.00033956,339.5604217,859503.2271,0.859503227,199,0.000231529,231.52909,3.65E-05,3.35E-05,36.46937704,33.52810191,0.000255063,0.000119497,255.063262,119.4970293,0.000179466,7.36E-05,179.4662418,73.62798596
