Sample,Experiment,MO2,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-001,exp1,0.02079823,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-002,exp1,0.018515944,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-003,exp1,0.014801677,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-004,exp1,0.019710481,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-005,exp1,0.034908635,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-006,exp1,0.021176921,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-007,exp1,0.014783754,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-008,exp1,0.016691696,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-009,exp1,0.017671367,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-010,exp1,0.013528225,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-011,exp1,0.018901131,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-012,exp1,0.024918621,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-013,exp1,0.033846088,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-014,exp1,0.031940906,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-015,exp1,0.011601941,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-016,exp1,0.016941841,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-017,exp1,0.010179923,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-018,exp1,0.01658819,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-019,exp1,0.021304787,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-020,exp1,0.01583803,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-021,exp1,0.010908879,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
