name,expression,age,replicate,Experiment,gene,CO2.level,CO2.level2,Temp.level,Temp.level2,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
17C 10dph 1,1.220592143,T,1,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 10dph 2,1.418148608,T,2,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 10dph 3,1.228331706,T,3,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 10dph 4,1.327767088,T,4,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 10dph 5,1.208345123,T,5,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 1dph 1,0.621452399,Y,1,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 1dph 2,0.900084636,Y,2,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 1dph 3,0.984068414,Y,3,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 1dph 4,0.791134062,Y,4,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17C 1dph 5,0.740944369,Y,5,exp3,nka,400uatm,C,17C,L,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
17H 10dph 1,1.616972712,T,1,exp3,nka,2200uatm,H,17C,L,7.51,0.01,1952,39,17.6,0.3,31,8.57,0.15,22.4,0.4,2047,20,2066,21,1945,39,35,1
