Sample,Experiment,Tank,CO2_level,Salinity,TA_umolkg,TA_molkg,DIC_umolkg,DIC_molkg,pH,Temp
TS-F-1-1-061021,exp2,1E,amb,26.4,2037.4,0.002037354,1871.4,0.00187142,8.06,22.6
TS-F-2-1-061021,exp2,2E,med,26.5,2053.5,0.002053534,2051.3,0.002051281,7.5,22.2
TS-F-3-1-061021,exp2,3E,high,26.6,2050,0.002049958,2136.4,0.002136449,7.16,22
TS-D-1-1-061021,exp1,t1,amb,25.58,2017.2,0.002017152,1910.4,0.001910446,7.8,23.4
TS-D-2-1-061021,exp1,t2,med,25.54,2027.1,0.002027083,2035.8,0.002035844,7.26,23.5
TS-D-3-1-061021,exp1,t3,high,25.47,2027,0.002026957,2124.8,0.002124761,6.91,23.8
TS-D-4-1-061021,exp1,t4,med,25.8,2024.5,0.002024453,1960.9,0.001960875,7.31,23.7
TS-D-5-1-061021,exp1,t5,med,25.71,2029,0.002028959,2045.8,0.002045791,7.27,23.6
TS-D-6-1-061021,exp1,t6,amb,25.49,2005.9,0.002005938,1905.4,0.001905417,7.79,23.9
TS-D-7-1-061021,exp1,t7,high,25.38,2007.8,0.002007832,2067.2,0.002067167,7.01,23.9
TS-D-8-1-061021,exp1,t8,amb,25.2,1988.6,0.00198863,1908.5,0.001908507,7.77,23.9
TS-D-9-1-061021,exp1,t9,high,25.47,2025.3,0.002025339,2116,0.002115981,6.96,23.6
TS-F-1-1-061621,exp2,1E,amb,28.35,2106.7,0.002106748,1925.2,0.001925174,8.09,22.5
TS-F-2-1-061621,exp2,2E,med,28.46,2144.9,0.002144867,2172.3,0.002172261,7.37,22.4
TS-F-3-1-061621,exp2,3E,high,28.51,2162.3,0.002162259,2289.9,0.002289938,7.07,22.8
TS-D-1-1-062021,exp1,t1,amb,29.7,2258.1,0.002258066,2048,0.002047961,8.11,23.8
TS-D-2-1-062021,exp1,t2,med,29.61,2312.2,0.002312232,2247.7,0.002247657,7.53,24
TS-D-3-1-062021,exp1,t3,high,30.07,2305.8,0.002305846,2352.3,0.002352288,7.32,23.8
TS-D-4-1-062021,exp1,t4,med,30.33,2315.4,0.002315402,2296.7,0.002296678,7.56,24
TS-D-5-1-062021,exp1,t5,med,30.79,2357.5,0.002357504,2287.4,0.00228744,7.55,23.8
TS-D-6-1-062021,exp1,t6,amb,29.92,2281.5,0.002281543,2099.2,0.002099154,8.06,23.8
TS-D-7-1-062021,exp1,t7,high,30.14,2311.4,0.002311361,2399,0.00239902,7.28,24
TS-D-8-1-062021,exp1,t8,amb,29.53,2260.5,0.002260503,2062.7,0.002062665,8.12,23.9
TS-D-9-1-062021,exp1,t9,high,29.79,2293.8,0.002293796,2333.9,0.002333857,7.27,23.8
TS-F-1-1-062121,exp2,1E,amb,28.89,2147,0.002147049,1965.9,0.001965937,8.08,22.2
TS-F-2-1-062121,exp2,2E,med,29.18,2190.3,0.00219029,2187.3,0.00218733,7.31,22.4
TS-F-3-2-062121,exp2,3E,high,29.2,2207,0.00220701,2225.1,0.00222511,7.04,21.9
