Well,CO2_level,Tank,dw_mg
A1,med,t4,0.069747288
A2,blankmed,t4,
A3,med,t4,0.065764842
A4,blankmed,t4,
A5,med,t4,0.056822565
A6,blankhigh,t3,
B1,high,t9,0.076878771
B2,high,t9,0.086552818
B3,blankhigh,t9,
B4,high,t9,0.10198861
B5,blankhigh,t9,
B6,high,t3,0.062434243
C1,blankamb,t6,
C2,blankamb,t6,
C3,amb,t6,0.053775641
C4,amb,t6,0.069651289
C5,amb,t6,0.059396339
C6,high,t3,0.05756485
D1,med,t5,0.072610435
D2,blankmed,t5,
D3,blankmed,t5,
D4,med,t5,0.082952519
D5,med,t5,0.09544944
D6,blankhigh,t3,
