Well,CO2_level,Tank,dw_mg,ID,probs
A1,blankmed,2A,,,
A2,med,2A,0.109355143,120,
A3,med,2A,0.123584772,121,
A4,med,2A,0.085691742,122,
A5,med,2A,0.078067375,123,
A6,med,2A,0.11007652,124,
B1,blankamb,1B,,,
B2,med,2C,0.14804063,125,
B3,med,2C,0.138475215,126,
B4,med,2C,0.105073036,127,
B5,blankmed,2C,,,
B6,med,2C,0.119041247,128,
C1,high,3B,0.103571596,129,
C2,high,3B,0.096153363,130,
C3,high,3B,0.111276731,131,
C4,blankhigh,3B,,,
C5,high,3B,0.159990006,132,
C6,high,3B,0.113563003,133,
D1,med,2B,0.127516763,134,
D2,med,2B,0.140189032,135,
D3,med,2B,,136,"Got squished when sealed wells, can't use"
D4,med,2B,0.122565904,137,
D5,med,2B,0.121197518,138,
D6,blankmed,2B,,,
